"Date","Price","Open","High","Low","Vol.","Change %"
"13-06-2023","5.30","5.16","5.40","5.11","2.58M","2.73%"
"12-06-2023","5.16","5.17","5.19","5.02","2.84M","-0.34%"
"11-06-2023","5.18","5.23","5.25","5.10","2.59M","-1.11%"
"10-06-2023","5.23","5.99","6.00","4.78","14.47M","-12.53%"
"09-06-2023","5.99","5.99","6.08","5.92","1.27M","-0.15%"
"08-06-2023","5.99","5.92","6.04","5.88","1.47M","1.30%"
"07-06-2023","5.92","6.26","6.26","5.83","3.06M","-5.42%"
"06-06-2023","6.26","6.06","6.31","6.01","3.78M","3.27%"
"05-06-2023","6.06","6.45","6.49","5.97","4.58M","-6.05%"
"04-06-2023","6.45","6.42","6.53","6.39","1.20M","0.48%"
"03-06-2023","6.42","6.45","6.46","6.37","889.01K","-0.59%"
"02-06-2023","6.45","6.34","6.48","6.32","2.19M","1.76%"
"01-06-2023","6.34","6.48","6.51","6.32","2.21M","-2.15%"
"31-05-2023","6.48","6.61","6.63","6.41","2.66M","-2.01%"
"30-05-2023","6.61","6.64","6.67","6.54","2.44M","-0.34%"
"29-05-2023","6.64","6.63","6.67","6.53","2.30M","0.09%"
"28-05-2023","6.63","6.44","6.66","6.42","2.07M","3.03%"
"27-05-2023","6.44","6.34","6.44","6.34","1.12M","1.48%"
"26-05-2023","6.34","6.28","6.38","6.24","1.74M","1.05%"
"25-05-2023","6.28","6.32","6.34","6.19","1.92M","-0.73%"
"24-05-2023","6.32","6.50","6.50","6.22","3.16M","-2.80%"
"23-05-2023","6.50","6.53","6.63","6.48","1.80M","-0.34%"
"22-05-2023","6.53","6.43","6.61","6.35","2.68M","1.44%"
"21-05-2023","6.43","6.50","6.54","6.37","1.32M","-1.09%"
"20-05-2023","6.50","6.51","6.54","6.47","789.81K","0.00%"
"19-05-2023","6.51","6.53","6.55","6.47","1.47M","-0.43%"
"18-05-2023","6.53","6.76","6.77","6.43","2.32M","-3.26%"
